road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.616666666666667,33.78263205013429,-1.85,Blue,2024-09-28T22:00:30.026943,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.75,25.012173913043476,-1.2333333333333334,Blue,2024-09-28T22:00:30.143935,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-28T22:00:30.242576,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.5,87.75272727272727,-1.75,Blue,2024-09-28T22:00:30.345552,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.033333333333333,95.12265861027191,-1.25,Blue,2024-09-28T22:00:30.462566,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.566666666666667,45.62242990654206,-0.5333333333333333,Blue,2024-09-28T22:00:30.559154,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-09-28T22:00:30.650148,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.95,100.2494623655914,-1.2333333333333334,Blue,2024-09-28T22:00:30.691916,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.433333333333334,51.92953367875647,0.06666666666666667,Blue,2024-09-28T22:00:30.788846,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.133333333333333,48.004805491990844,-2.95,Blue,2024-09-28T22:00:30.874655,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-28T22:00:30.958685,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.216666666666667,63.74290375203915,-1.25,Blue,2024-09-28T22:00:31.039680,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-28T22:00:31.113528,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.85,48.35151515151515,-2.4833333333333334,Blue,2024-09-28T22:00:31.213086,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.566666666666666,45.3852140077821,-1.0333333333333334,Blue,2024-09-28T22:00:31.315406,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.366666666666667,44.402784222737814,-0.5833333333333334,Blue,2024-09-28T22:00:31.403016,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.2,39.04090909090909,0.1,Blue,2024-09-28T22:00:31.478931,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.95,45.21544401544402,-1.4166666666666667,Blue,2024-09-28T22:00:31.569711,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.733333333333333,42.898295454545455,0.43333333333333335,Blue,2024-09-28T22:00:31.661414,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.0,53.845,-1.65,Blue,2024-09-28T22:00:31.763542,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.966666666666667,46.946555323590815,-0.9166666666666666,Blue,2024-09-28T22:00:31.840946,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.283333333333333,74.96499321573948,-1.0333333333333334,Blue,2024-09-28T22:00:31.923263,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.466666666666667,49.862686567164175,-0.36666666666666664,Blue,2024-09-28T22:00:32.003328,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.75,45.94285714285714,-0.8166666666666667,Blue,2024-09-28T22:00:32.089861,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T22:00:32.190747,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.433333333333334,73.36600790513833,-0.4,Blue,2024-09-28T22:00:32.281007,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.933333333333334,64.85103092783505,-0.7166666666666667,Blue,2024-09-28T22:00:32.364351,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.266666666666667,67.27215189873418,0.016666666666666666,Blue,2024-09-28T22:00:32.444351,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,34.93333333333333,94.46908396946566,-5.35,Blue,2024-09-28T22:00:32.528208,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
