road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.25,34.4613698630137,-2.216666666666667,Blue,2024-09-29T01:00:29.488994,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.733333333333333,25.08488372093023,-1.25,Blue,2024-09-29T01:00:29.599184,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.5,37.646153846153844,-0.4,Blue,2024-09-29T01:00:29.686010,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.55,87.48761329305137,-1.7,Blue,2024-09-29T01:00:29.785686,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.566666666666666,90.73659942363113,-0.7166666666666667,Blue,2024-09-29T01:00:29.861806,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5,46.49142857142857,-0.6,Blue,2024-09-29T01:00:29.956958,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-29T01:00:30.045944,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.933333333333334,100.36937799043062,-1.25,Blue,2024-09-29T01:00:30.085132,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.633333333333334,50.36381909547738,0.26666666666666666,Blue,2024-09-29T01:00:30.173319,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.65,45.62936378466558,-1.4333333333333333,Blue,2024-09-29T01:00:30.274732,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.133333333333333,45.44671532846716,-0.4666666666666667,Blue,2024-09-29T01:00:30.358291,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.266666666666667,63.43246753246752,-1.2,Blue,2024-09-29T01:00:30.443572,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-29T01:00:30.522893,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.366666666666667,43.870875763747456,-0.9666666666666667,Blue,2024-09-29T01:00:30.613903,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-29T01:00:30.686901,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.166666666666666,42.06065934065934,0.21666666666666667,Blue,2024-09-29T01:00:30.775889,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.983333333333333,39.69242618741977,-0.11666666666666667,Blue,2024-09-29T01:00:30.848480,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.116666666666667,41.47863046044864,-0.25,Blue,2024-09-29T01:00:30.919724,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.05,50.08358208955223,-1.25,Blue,2024-09-29T01:00:30.999760,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.85,54.526582278481015,-1.8,Blue,2024-09-29T01:00:31.081796,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.983333333333333,46.89760166840459,-0.9,Blue,2024-09-29T01:00:31.151443,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.357,20.633333333333333,44.65686591276252,6.783333333333333,Orange,2024-09-29T01:00:31.226261,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.2,42.830769230769235,0.36666666666666664,Yellow,2024-09-29T01:00:31.322549,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.866666666666667,45.338345864661655,-0.7,Blue,2024-09-29T01:00:31.417040,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T01:00:31.499554,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.766666666666667,70.57642585551329,-0.06666666666666667,Blue,2024-09-29T01:00:31.579993,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.966666666666667,64.68431876606684,-0.6833333333333333,Blue,2024-09-29T01:00:31.639005,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.916666666666667,72.06101694915255,-0.3333333333333333,Blue,2024-09-29T01:00:31.708004,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.43333333333333,85.86608846487425,-1.85,Blue,2024-09-29T01:00:31.785602,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.833333333333332,79.30573426573427,-1.8333333333333333,Blue,2024-09-29T01:00:31.916691,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.483333333333333,88.34292289988493,-0.1,Blue,2024-09-29T01:00:31.986416,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.633333333333333,73.50273081924577,-1.9,Blue,2024-09-29T01:00:32.072134,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
