road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.733333333333334,33.57224199288256,-1.7333333333333334,Blue,2024-09-29T02:00:30.033789,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.716666666666667,25.158017492711366,-1.2666666666666666,Blue,2024-09-29T02:00:30.135745,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-29T02:00:30.227824,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.666666666666668,86.8752,-1.5833333333333333,Blue,2024-09-29T02:00:30.327976,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.1,94.55135135135136,-1.1833333333333333,Blue,2024-09-29T02:00:30.431649,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5166666666666666,46.27109004739337,-0.5833333333333334,Blue,2024-09-29T02:00:30.523862,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-29T02:00:30.619818,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.133333333333333,98.94905660377358,-1.05,Blue,2024-09-29T02:00:30.681880,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-09-29T02:00:30.761192,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.666666666666668,47.14179775280899,-2.4166666666666665,Blue,2024-09-29T02:00:30.847034,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.1,45.613186813186815,-0.5,Blue,2024-09-29T02:00:30.923815,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.266666666666667,63.43246753246752,-1.2,Blue,2024-09-29T02:00:31.004657,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-29T02:00:31.082607,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.1,44.59751552795031,-1.2333333333333334,Blue,2024-09-29T02:00:31.171678,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.05,42.96132596685083,-0.55,Blue,2024-09-29T02:00:31.251892,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.9,42.81342281879194,-0.05,Blue,2024-09-29T02:00:31.323297,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.6,40.900000000000006,-0.5,Blue,2024-09-29T02:00:31.393568,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.666666666666666,42.84439024390244,-0.7,Blue,2024-09-29T02:00:31.473509,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.383333333333333,44.21727672035139,0.08333333333333333,Blue,2024-09-29T02:00:31.657102,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.75,54.990638297872344,-1.9,Blue,2024-09-29T02:00:31.736308,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.983333333333333,46.89760166840459,-0.9,Blue,2024-09-29T02:00:31.828483,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
