road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.133333333333333,32.870383275261325,-1.3333333333333333,Blue,2024-09-29T06:00:29.882437,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-29T06:00:29.984462,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.233333333333334,38.16811091854419,-0.6666666666666666,Blue,2024-09-29T06:00:30.080757,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,40.56666666666667,35.6923582580115,22.316666666666666,Dark Red,2024-09-29T06:00:30.179515,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.866666666666667,66.14621848739496,3.5833333333333335,Orange,2024-09-29T06:00:30.276729,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.95,41.19493670886076,-0.15,Blue,2024-09-29T06:00:30.357799,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.866666666666667,48.910084033613444,-0.6,Blue,2024-09-29T06:00:30.454270,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,39.516666666666666,35.3896246309574,24.333333333333332,Dark Red,2024-09-29T06:00:30.514326,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,7.116666666666666,69.79953161592506,0.2,Blue,2024-09-29T06:00:30.604802,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.016666666666666,58.62148190695003,-1.6166666666666667,Blue,2024-09-29T06:00:30.685498,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.283333333333333,44.71238779174147,-0.31666666666666665,Blue,2024-09-29T06:00:30.761980,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.066,13.1,55.264122137404584,0.0,Blue,2024-09-29T06:00:30.840139,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-29T06:00:30.930526,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.333333333333332,43.96040816326531,-1.0,Blue,2024-09-29T06:00:31.064673,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.283333333333333,41.881508078994614,-0.31666666666666665,Blue,2024-09-29T06:00:31.138039,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-09-29T06:00:31.218534,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.533333333333333,41.117553191489364,-0.5666666666666667,Blue,2024-09-29T06:00:31.296426,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.033333333333333,41.7249406175772,-0.3333333333333333,Blue,2024-09-29T06:00:31.372411,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.716666666666667,46.967962674961115,-0.5833333333333334,Blue,2024-09-29T06:00:31.450651,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.583333333333334,51.34887417218543,-1.0666666666666667,Blue,2024-09-29T06:00:31.534170,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.266666666666667,49.09912663755458,-1.6166666666666667,Blue,2024-09-29T06:00:31.611216,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
