road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.083333333333332,29.8301976284585,0.6166666666666667,Blue,2024-09-29T10:00:30.672196,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.333333333333333,22.70842105263158,-0.65,Blue,2024-09-29T10:00:30.780301,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.083333333333332,38.468122270742356,-0.8166666666666667,Blue,2024-09-29T10:00:30.902427,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.883333333333333,85.760315893386,-1.3666666666666667,Blue,2024-09-29T10:00:31.010184,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.75,89.32085106382979,-0.5333333333333333,Blue,2024-09-29T10:00:31.103695,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.75,43.392,-0.35,Blue,2024-09-29T10:00:31.216788,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.983333333333333,48.553076120959325,-0.48333333333333334,Blue,2024-09-29T10:00:31.332758,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.5,96.44689655172414,-0.6833333333333333,Blue,2024-09-29T10:00:31.393600,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.033333333333333,55.37237569060773,-0.3333333333333333,Blue,2024-09-29T10:00:31.491150,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.433333333333334,51.11300121506683,-3.933333333333333,Blue,2024-09-29T10:00:31.573033,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.25,44.873513513513515,-0.35,Blue,2024-09-29T10:00:31.657821,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.083333333333334,59.824551724137926,-0.5833333333333334,Blue,2024-09-29T10:00:31.737108,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.066666666666667,39.678260869565214,0.016666666666666666,Blue,2024-09-29T10:00:31.837778,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.433333333333334,38.95226039783002,1.1,Yellow,2024-09-29T10:00:31.925941,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.066666666666666,38.622516556291394,0.4666666666666667,Blue,2024-09-29T10:00:32.011243,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,13.8,46.22608695652173,-1.15,Blue,2024-09-29T10:00:32.091057,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.533333333333333,41.117553191489364,-0.5666666666666667,Blue,2024-09-29T10:00:32.181966,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.733333333333333,37.21652542372882,1.3666666666666667,Yellow,2024-09-29T10:00:32.288357,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.583333333333334,39.84863309352517,-0.48333333333333334,Blue,2024-09-29T10:00:32.381985,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.9,54.29747899159664,-1.75,Blue,2024-09-29T10:00:32.584975,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.116666666666667,49.58632855567806,-1.7666666666666666,Blue,2024-09-29T10:00:32.679871,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.416666666666666,74.16,-0.9,Blue,2024-09-29T10:00:32.757915,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.983333333333333,44.69297658862876,0.15,Blue,2024-09-29T10:00:32.840629,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.9,45.168539325842694,-0.6666666666666666,Blue,2024-09-29T10:00:32.940035,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T10:00:33.031121,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.3,74.54457831325301,-0.5333333333333333,Blue,2024-09-29T10:00:33.125650,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.516666666666667,67.00985352862848,-1.1333333333333333,Blue,2024-09-29T10:00:33.209373,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.083333333333333,69.69836065573772,-0.16666666666666666,Blue,2024-09-29T10:00:33.307705,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.36666666666667,83.8303132938188,-0.9166666666666666,Blue,2024-09-29T10:00:33.465132,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,25.566666666666666,73.929074315515,-0.1,Blue,2024-09-29T10:00:33.636500,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.25,89.78947368421053,-0.3333333333333333,Blue,2024-09-29T10:00:33.734990,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.866666666666667,72.83969072164949,-1.6666666666666667,Blue,2024-09-29T10:00:33.811897,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.383333333333333,85.78449304174951,-0.1,Blue,2024-09-29T10:00:33.887622,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.766666666666667,40.544486692015205,-0.16666666666666666,Blue,2024-09-29T10:00:33.970450,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.8666666666666667,33.268965517241384,0.6833333333333333,Orange,2024-09-29T10:00:34.054004,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.716666666666667,107.00902021772939,-1.1166666666666667,Blue,2024-09-29T10:00:34.139376,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,22.166666666666668,52.64390977443609,6.55,Orange,2024-09-29T10:00:34.241255,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.466666666666667,34.72388059701492,0.11666666666666667,Blue,2024-09-29T10:00:34.326959,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.716666666666667,65.89934469200524,-0.85,Blue,2024-09-29T10:00:34.420690,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.8,84.36093749999999,-1.1666666666666667,Blue,2024-09-29T10:00:34.527082,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,14.0,33.81428571428571,3.3333333333333335,Orange,2024-09-29T10:00:34.606832,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.75,85.28516129032258,-0.4,Blue,2024-09-29T10:00:34.681610,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.1,105.8108108108108,-1.05,Blue,2024-09-29T10:00:34.722435,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.8,67.2264705882353,-0.7333333333333333,Blue,2024-09-29T10:00:34.804777,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,11.133333333333333,59.56706586826348,0.5333333333333333,Yellow,2024-09-29T10:00:34.907751,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,14.566666666666666,59.77482837528604,3.4833333333333334,Orange,2024-09-29T10:00:34.991157,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.85,71.19593908629443,-0.11666666666666667,Blue,2024-09-29T10:00:35.072718,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.033333333333335,38.14602587800369,-0.65,Blue,2024-09-29T10:00:35.178482,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.783333333333333,80.79454855195911,-0.9,Blue,2024-09-29T10:00:35.257291,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,12.166666666666666,53.46246575342465,3.716666666666667,Orange,2024-09-29T10:00:35.350056,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6666666666666665,39.25636363636364,-0.05,Blue,2024-09-29T10:00:35.438746,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,22.5,47.32,4.033333333333333,Orange,2024-09-29T10:00:35.551926,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.612,18.5,40.90378378378378,5.0,Orange,2024-09-29T10:00:35.636923,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.133333333333334,24.218181818181815,-0.25,Blue,2024-09-29T10:00:35.753740,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.627,25.05,68.56766467065867,1.0833333333333333,Blue,2024-09-29T10:00:35.921313,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.95,41.03463687150839,-0.5,Blue,2024-09-29T10:00:36.014534,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,25.95,38.59190751445087,9.6,Red,2024-09-29T10:00:36.136276,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.533333333333333,79.51468531468532,-0.08333333333333333,Blue,2024-09-29T10:00:36.253357,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,11.533333333333333,25.05953757225434,1.7,Yellow,2024-09-29T10:00:36.334351,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.516666666666667,69.78874856486797,-1.1,Blue,2024-09-29T10:00:36.427567,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,13.9,62.36978417266187,-0.55,Blue,2024-09-29T10:00:36.502219,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.7666666666666666,37.68849557522124,-0.16666666666666666,Blue,2024-09-29T10:00:36.580031,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.416666666666668,93.66515837104072,-1.9833333333333334,Blue,2024-09-29T10:00:36.663237,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.65,36.276106194690264,0.15,Blue,2024-09-29T10:00:36.761376,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.716666666666665,45.441956726246474,-0.45,Blue,2024-09-29T10:00:36.840939,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,11.966666666666667,57.17883008356546,-0.43333333333333335,Blue,2024-09-29T10:00:36.928699,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.516666666666667,60.75407854984895,-0.05,Blue,2024-09-29T10:00:37.012795,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,15.033333333333333,51.717073170731716,0.7166666666666667,Yellow,2024-09-29T10:00:37.091492,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.083333333333332,45.744884792626735,-3.3666666666666667,Blue,2024-09-29T10:00:37.196000,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,26.633333333333333,54.45281602002503,5.45,Orange,2024-09-29T10:00:37.370897,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,19.366666666666667,69.6051635111876,1.5333333333333334,Yellow,2024-09-29T10:00:37.454154,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.95,41.30847457627119,-0.13333333333333333,Blue,2024-09-29T10:00:37.540865,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,21.5,51.611162790697676,1.4833333333333334,Yellow,2024-09-29T10:00:37.685363,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,8.066666666666666,45.10413223140496,0.7666666666666667,Yellow,2024-09-29T10:00:37.755486,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,12.25,54.98448979591837,0.6333333333333333,Yellow,2024-09-29T10:00:37.848283,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.101,14.716666666666667,45.25889014722537,0.6666666666666666,Blue,2024-09-29T10:00:37.934040,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,12.587,15.533333333333333,48.619313304721025,2.216666666666667,Yellow,2024-09-29T10:00:38.016253,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.133,11.283333333333333,53.88301329394386,-0.9166666666666666,Blue,2024-09-29T10:00:38.103845,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,11.466666666666667,55.25581395348837,-0.4666666666666667,Blue,2024-09-29T10:00:38.204136,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
Al Abbas Al Rashidi St.,10.676,18.583333333333332,34.46959641255606,5.95,Orange,2024-09-29T10:00:38.290693,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)"
Imam Malik Road,10.762,15.366666666666667,42.02082429501085,0.8166666666666667,Yellow,2024-09-29T10:00:38.375448,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)"
Imam Malik Road,10.953,7.716666666666667,85.16371490280777,-0.35,Blue,2024-09-29T10:00:38.466365,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)"
طريق الأمير سعد بن عبدالرحمن الأول,15.38,17.766666666666666,51.93996247654785,2.4166666666666665,Yellow,2024-09-29T10:00:38.543328,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)"
طريق الأمير سعد بن عبدالرحمن الأول,5.948,6.85,52.0992700729927,0.0,Blue,2024-09-29T10:00:38.622773,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)"
Al Muhareb,10.311,21.733333333333334,28.465950920245398,-1.3,Blue,2024-09-29T10:00:38.707026,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)"
Al Muhareb,9.295,10.466666666666667,53.28343949044586,-0.13333333333333333,Blue,2024-09-29T10:00:38.782641,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)"
Othman Bin Affan Road,13.485,15.65,51.6996805111821,4.383333333333334,Orange,2024-09-29T10:00:38.859369,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)"
Othman Bin Affan Road,5.705,7.683333333333334,44.55097613882863,-0.05,Blue,2024-09-29T10:00:38.943240,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)"
Al Nahdha road,10.89,12.833333333333334,50.91428571428571,0.11666666666666667,Blue,2024-09-29T10:00:39.025214,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)"
Al Nahdha road,8.132,10.216666666666667,47.75725938009788,1.9666666666666666,Orange,2024-09-29T10:00:39.132297,"(24.6365608, 46.8002853)","(24.6250042, 46.74273400000001)"
طريق العروبة,15.799,20.866666666666667,45.42843450479233,4.083333333333333,Orange,2024-09-29T10:00:39.242625,"(24.7435352, 46.7525945)","(24.70444, 46.6237931)"
طريق العروبة,2.665,4.1,39.0,0.43333333333333335,Yellow,2024-09-29T10:00:39.333292,"(24.70444, 46.6237931)","(24.6894848, 46.6294245)"
Irqah,22.331,20.133333333333333,66.54933774834437,-0.25,Blue,2024-09-29T10:00:39.442916,"(24.7092533, 46.6160959)","(24.6643553, 46.48941989999999)"
الضوء,11.805,9.366666666666667,75.61921708185054,-0.5333333333333333,Blue,2024-09-29T10:00:39.520838,"(24.8929013, 46.8431832)","(24.8839823, 46.8066945)"
الضوء,5.724,5.066666666666666,67.78421052631579,-0.18333333333333332,Blue,2024-09-29T10:00:39.617219,"(24.8839823, 46.8066945)","(24.8693908, 46.8040022)"
الدائري الثاني,14.018,13.533333333333333,62.148768472906404,-0.8333333333333334,Blue,2024-09-29T10:00:39.699904,"(24.7609512, 46.8691728)","(24.662313, 46.8567589)"
الدائري الثاني,2.949,3.3833333333333333,52.2975369458128,0.05,Blue,2024-09-29T10:00:39.771012,"(24.662313, 46.8567589)","(24.6525801, 46.8461368)"
المعيزيلة,12.541,17.266666666666666,43.578764478764484,3.1666666666666665,Orange,2024-09-29T10:00:39.852345,"(24.8192265, 46.8603337)","(24.7577306, 46.8310673)"
المعيزيلة,3.376,5.283333333333333,38.33943217665615,-0.05,Blue,2024-09-29T10:00:39.943003,"(24.7577306, 46.8310673)","(24.7645772, 46.8148493)"
رقوان,10.866,14.866666666666667,43.85381165919282,-0.36666666666666664,Blue,2024-09-29T10:00:40.033476,"(24.6273575, 46.61191650000001)","(24.5924335, 46.5453261)"
رقوان,4.427,9.816666666666666,27.058064516129033,-0.6333333333333333,Blue,2024-09-29T10:00:40.106397,"(24.5924335, 46.5453261)","(24.5761648, 46.5651915)"
