road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.683333333333334,31.951905165114308,-0.7833333333333333,Blue,2024-09-29T12:00:30.524672,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.183333333333334,23.259299191374662,-0.8,Blue,2024-09-29T12:00:30.632740,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-29T12:00:30.739902,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.966666666666665,85.33909626719058,-1.2833333333333334,Blue,2024-09-29T12:00:30.861597,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.4,68.15064935064936,3.1166666666666667,Orange,2024-09-29T12:00:30.967514,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.0,40.68000000000001,-0.1,Blue,2024-09-29T12:00:31.063160,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-29T12:00:31.170230,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.6,95.78630136986303,-0.5833333333333334,Blue,2024-09-29T12:00:31.241131,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.266666666666667,53.31063829787234,-0.1,Blue,2024-09-29T12:00:31.340911,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.283333333333335,51.39401343921808,-4.083333333333333,Blue,2024-09-29T12:00:31.447111,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.35,44.39358288770054,-0.25,Blue,2024-09-29T12:00:31.535937,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.4,63.410526315789475,-1.25,Blue,2024-09-29T12:00:31.631073,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-29T12:00:31.713967,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.781,20.566666666666666,34.36920583468395,1.3166666666666667,Yellow,2024-09-29T12:00:31.814176,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.883333333333333,43.767354596622894,-0.7166666666666667,Blue,2024-09-29T12:00:31.912704,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,13.95,45.72903225806452,-1.0,Blue,2024-09-29T12:00:32.005466,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,14.366666666666667,35.87053364269141,1.2666666666666666,Yellow,2024-09-29T12:00:32.101416,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.333333333333334,61.31720930232558,-0.65,Blue,2024-09-29T12:00:32.230005,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.6,47.48490566037736,-0.7,Blue,2024-09-29T12:00:32.337470,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.866666666666667,54.45,-1.7833333333333334,Blue,2024-09-29T12:00:32.441063,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.033333333333333,49.861197339246125,-1.85,Blue,2024-09-29T12:00:32.526704,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,21.216666666666665,43.40078554595444,7.9,Red,2024-09-29T12:00:32.610555,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.733333333333333,47.05352112676057,-0.1,Blue,2024-09-29T12:00:32.691740,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.533333333333333,47.109375,-1.0333333333333334,Blue,2024-09-29T12:00:32.768306,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
