road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.616666666666667,29.094217424826518,1.15,Yellow,2024-09-29T18:00:30.601847,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.916666666666667,24.30760563380281,-1.0666666666666667,Blue,2024-09-29T18:00:30.733225,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.7,37.263959390862944,-0.2,Blue,2024-09-29T18:00:30.838974,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.45,82.97535816618911,-0.8,Blue,2024-09-29T18:00:30.936684,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.716666666666667,76.5142162818955,1.4333333333333333,Yellow,2024-09-29T18:00:31.018523,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.166666666666667,26.387027027027028,2.066666666666667,Red,2024-09-29T18:00:31.172021,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-09-29T18:00:31.379243,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.0,93.232,-0.18333333333333332,Blue,2024-09-29T18:00:31.425458,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.716666666666667,49.738957816377166,0.35,Yellow,2024-09-29T18:00:31.546599,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.766666666666666,57.1444568868981,-0.8666666666666667,Blue,2024-09-29T18:00:31.647929,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.8,42.35510204081632,0.2,Blue,2024-09-29T18:00:31.733416,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.033333333333333,60.07313019390582,-0.6166666666666667,Blue,2024-09-29T18:00:31.822244,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-09-29T18:00:31.928180,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.733333333333334,38.32846975088968,1.4,Yellow,2024-09-29T18:00:32.018608,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.516666666666667,40.85464098073555,-0.08333333333333333,Blue,2024-09-29T18:00:32.121295,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.533333333333333,43.893577981651376,-0.4166666666666667,Blue,2024-09-29T18:00:32.213449,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.983333333333333,39.69242618741977,-0.11666666666666667,Blue,2024-09-29T18:00:32.304338,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.966666666666667,45.1573264781491,-1.4,Blue,2024-09-29T18:00:32.385898,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.95,42.12050209205021,0.65,Yellow,2024-09-29T18:00:32.469335,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.6,51.280952380952385,-1.05,Blue,2024-09-29T18:00:32.560966,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-29T18:00:32.643707,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.3,74.86341463414634,-1.0166666666666666,Blue,2024-09-29T18:00:32.718505,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.833333333333333,46.080000000000005,0.0,Blue,2024-09-29T18:00:32.801157,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.0,44.66666666666667,-0.5666666666666667,Blue,2024-09-29T18:00:32.929545,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T18:00:33.050582,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.833333333333334,70.04377358490565,0.0,Blue,2024-09-29T18:00:33.164888,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.966666666666667,64.68431876606684,-0.6833333333333333,Blue,2024-09-29T18:00:33.263239,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.3,66.84905660377359,0.05,Blue,2024-09-29T18:00:33.347534,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.4,85.940625,-1.8833333333333333,Blue,2024-09-29T18:00:33.453746,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.666666666666668,76.62648648648647,-1.0,Blue,2024-09-29T18:00:33.619319,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.016666666666667,91.28418549346016,-0.5666666666666667,Blue,2024-09-29T18:00:33.702197,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.783333333333335,70.34673304293715,-0.75,Blue,2024-09-29T18:00:33.798906,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,13.399,14.933333333333334,53.83526785714285,1.0166666666666666,Yellow,2024-09-29T18:00:33.889087,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,13.433333333333334,26.459553349875932,4.5,Red,2024-09-29T18:00:33.972734,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.2333333333333334,39.78556701030928,0.05,Blue,2024-09-29T18:00:34.061836,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.85,105.69400921658986,-0.9833333333333333,Blue,2024-09-29T18:00:34.141213,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
