road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.316666666666666,32.558412424503885,-1.15,Blue,2024-09-29T21:00:29.923849,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-29T21:00:30.026523,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.55,37.549872122762146,-0.35,Blue,2024-09-29T21:00:30.136938,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.183333333333334,84.26304558680891,-1.0666666666666667,Blue,2024-09-29T21:00:30.246201,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.933333333333334,87.94860335195531,-0.35,Blue,2024-09-29T21:00:30.342590,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-29T21:00:30.458661,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-29T21:00:30.555936,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.75,94.81220338983051,-0.43333333333333335,Blue,2024-09-29T21:00:30.594792,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.733333333333333,49.61584158415841,0.36666666666666664,Yellow,2024-09-29T21:00:30.694519,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.383333333333333,46.02984092155788,-1.7,Blue,2024-09-29T21:00:30.782960,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.2,45.117391304347834,-0.4,Blue,2024-09-29T21:00:30.873964,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.55,62.58701298701298,-1.1,Blue,2024-09-29T21:00:30.947084,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-29T21:00:31.041045,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
