road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.716666666666665,33.60213713268032,-1.75,Blue,2024-09-30T00:00:29.717636,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.666666666666667,25.379999999999995,-1.3166666666666667,Blue,2024-09-30T00:00:29.827451,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.566666666666666,37.51788756388415,-0.3333333333333333,Blue,2024-09-30T00:00:29.919406,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.866666666666667,85.84505928853754,-1.3833333333333333,Blue,2024-09-30T00:00:30.015698,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.65,90.08755364806866,-0.6333333333333333,Blue,2024-09-30T00:00:30.104563,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5833333333333335,45.41023255813953,-0.5166666666666667,Blue,2024-09-30T00:00:30.193386,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-09-30T00:00:30.300943,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.116666666666667,99.06587957497048,-1.0666666666666667,Blue,2024-09-30T00:00:30.341437,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.25,53.452799999999996,-0.11666666666666667,Blue,2024-09-30T00:00:30.436029,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,22.943,29.433333333333334,46.76942242355606,-3.2333333333333334,Blue,2024-09-30T00:00:30.521105,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-30T00:00:30.595788,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.25,64.256,-1.4,Blue,2024-09-30T00:00:30.673530,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-30T00:00:30.767191,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.816666666666666,45.39641728134879,-1.5166666666666666,Blue,2024-09-30T00:00:30.844284,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.266666666666667,41.956834532374096,-0.3333333333333333,Blue,2024-09-30T00:00:30.919206,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.833333333333334,43.00584269662921,-0.11666666666666667,Blue,2024-09-30T00:00:30.988906,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.233333333333333,38.942569269521414,0.13333333333333333,Blue,2024-09-30T00:00:31.053708,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.15,44.5277566539924,-1.2166666666666666,Blue,2024-09-30T00:00:31.149385,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.55,47.70995260663506,-0.75,Blue,2024-09-30T00:00:31.226822,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
