road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.516666666666666,33.965076507650764,-1.95,Blue,2024-09-30T02:00:30.361472,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.8,24.79655172413793,-1.1833333333333333,Blue,2024-09-30T02:00:30.488564,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-30T02:00:30.598051,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.683333333333334,86.78841158841159,-1.5666666666666667,Blue,2024-09-30T02:00:30.701532,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.85,88.56708860759495,-0.43333333333333335,Blue,2024-09-30T02:00:30.798917,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.566666666666667,45.62242990654206,-0.5333333333333333,Blue,2024-09-30T02:00:30.884700,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-09-30T02:00:30.970873,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.566666666666666,96.00549199084668,-0.6166666666666667,Blue,2024-09-30T02:00:31.023862,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.416666666666667,52.06441558441558,0.05,Blue,2024-09-30T02:00:31.115110,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.85,56.98492462311558,-0.7833333333333333,Blue,2024-09-30T02:00:31.249297,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-30T02:00:31.332055,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.333333333333334,63.7835294117647,-1.3166666666666667,Blue,2024-09-30T02:00:31.419885,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-30T02:00:31.499743,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.2,44.32222222222223,-1.1333333333333333,Blue,2024-09-30T02:00:31.590085,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.25,42.03243243243244,-0.35,Blue,2024-09-30T02:00:31.668942,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,16.3,39.1361963190184,1.35,Yellow,2024-09-30T02:00:31.754578,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.3,38.747368421052634,0.2,Blue,2024-09-30T02:00:31.834554,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.316666666666666,43.97046307884856,-1.05,Blue,2024-09-30T02:00:31.907529,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.65,47.26197183098591,-0.65,Blue,2024-09-30T02:00:31.985079,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.783333333333333,54.83507779349363,-1.8666666666666667,Blue,2024-09-30T02:00:32.068773,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-30T02:00:32.146692,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.216666666666667,69.67112232030264,-0.1,Blue,2024-09-30T02:00:32.216962,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.4,41.24444444444444,0.5666666666666667,Yellow,2024-09-30T02:00:32.312282,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.616666666666667,41.802426343154245,0.05,Blue,2024-09-30T02:00:32.394025,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T02:00:32.478687,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
