road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.366666666666667,29.434633385335413,0.9,Blue,2024-09-30T03:00:30.154560,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.25,23.0112,-0.7333333333333333,Blue,2024-09-30T03:00:30.252510,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-30T03:00:30.353080,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.316666666666666,88.73871297242084,-1.9333333333333333,Blue,2024-09-30T03:00:30.465622,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.966666666666667,95.70091185410334,-1.3166666666666667,Blue,2024-09-30T03:00:30.551989,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.316666666666666,37.695752895752904,0.21666666666666667,Yellow,2024-09-30T03:00:30.666995,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-30T03:00:30.737455,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.133333333333333,98.94905660377358,-1.05,Blue,2024-09-30T03:00:30.782670,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.483333333333333,51.52904884318766,0.11666666666666667,Blue,2024-09-30T03:00:30.871342,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.416666666666668,59.85923753665689,-2.216666666666667,Blue,2024-09-30T03:00:30.959832,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-30T03:00:31.052596,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.333333333333334,63.7835294117647,-1.3166666666666667,Blue,2024-09-30T03:00:31.127631,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-30T03:00:31.207266,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.95,45.01692789968653,-1.3833333333333333,Blue,2024-09-30T03:00:31.286387,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.75,44.434285714285714,-0.85,Blue,2024-09-30T03:00:31.362612,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.783333333333333,43.15129650507328,-0.16666666666666666,Blue,2024-09-30T03:00:31.433223,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.766666666666667,40.36605744125326,-0.3333333333333333,Blue,2024-09-30T03:00:31.505232,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.883333333333333,45.44941785252264,-1.4833333333333334,Blue,2024-09-30T03:00:31.584845,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.533333333333333,37.19261083743842,2.2333333333333334,Yellow,2024-09-30T03:00:31.657096,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.116666666666667,53.32654745529573,-1.5333333333333334,Blue,2024-09-30T03:00:31.726266,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-30T03:00:31.806895,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.116666666666667,75.99614855570839,-1.2,Blue,2024-09-30T03:00:31.879669,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.783333333333333,46.561672473867596,-0.05,Blue,2024-09-30T03:00:31.966296,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.066666666666666,44.338235294117645,-0.5,Blue,2024-09-30T03:00:32.044299,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T03:00:32.234293,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.383333333333333,73.80357852882703,-0.45,Blue,2024-09-30T03:00:32.315491,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.033333333333333,69.70138504155125,-1.6166666666666667,Blue,2024-09-30T03:00:32.401123,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.85,73.05154639175258,-0.4,Blue,2024-09-30T03:00:32.471223,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
