road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.433333333333334,30.77911908646003,-0.03333333333333333,Blue,2024-09-30T09:00:30.063742,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.116666666666666,23.512806539509537,-0.8666666666666667,Blue,2024-09-30T09:00:30.191113,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.166666666666668,38.30086956521738,-0.7333333333333333,Blue,2024-09-30T09:00:30.312495,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.116666666666667,84.59123661148978,-1.1333333333333333,Blue,2024-09-30T09:00:30.424234,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.85,88.56708860759495,-0.43333333333333335,Blue,2024-09-30T09:00:30.517378,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.666666666666667,28.71529411764706,1.5666666666666667,Orange,2024-09-30T09:00:30.629739,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-30T09:00:30.733258,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.65,95.45938566552901,-0.5333333333333333,Blue,2024-09-30T09:00:30.822502,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-30T09:00:30.935054,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.4,47.56938775510204,-2.683333333333333,Blue,2024-09-30T09:00:31.031099,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-30T09:00:31.127403,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.633333333333333,62.13868194842407,-1.0166666666666666,Blue,2024-09-30T09:00:31.221438,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-30T09:00:31.348958,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.083333333333332,34.05628458498024,3.75,Orange,2024-09-30T09:00:31.455667,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.35,34.25550660792952,1.75,Yellow,2024-09-30T09:00:31.628298,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.133333333333333,45.135849056603774,-0.8166666666666667,Blue,2024-09-30T09:00:31.718798,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.916666666666666,39.89729032258065,-0.18333333333333332,Blue,2024-09-30T09:00:31.797830,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.383333333333333,60.353629469122424,0.36666666666666664,Blue,2024-09-30T09:00:31.877390,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.033333333333333,41.82880886426593,0.7333333333333333,Yellow,2024-09-30T09:00:31.990036,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.95,54.07029288702929,-1.7,Blue,2024-09-30T09:00:32.085714,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.083333333333334,49.69591160220995,-1.8,Blue,2024-09-30T09:00:32.198889,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,16.816666666666666,54.75639246778989,3.5,Orange,2024-09-30T09:00:32.297145,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.183333333333334,42.96848874598071,0.35,Yellow,2024-09-30T09:00:32.419982,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.883333333333333,45.25328330206379,-0.6833333333333333,Blue,2024-09-30T09:00:32.506706,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T09:00:32.728307,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.45,73.22130177514794,-0.38333333333333336,Blue,2024-09-30T09:00:32.820632,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
