road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.65,32.16183206106871,-0.9333333333333333,Blue,2024-09-30T11:00:30.555703,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,7.016666666666667,20.49691211401425,0.03333333333333333,Blue,2024-09-30T11:00:30.667895,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.166666666666668,38.30086956521738,-0.7333333333333333,Blue,2024-09-30T11:00:30.778585,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.45,82.97535816618911,-0.8,Blue,2024-09-30T11:00:30.891619,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.266666666666667,85.55869565217391,-0.016666666666666666,Blue,2024-09-30T11:00:30.990634,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.466666666666667,25.162886597938147,2.3666666666666667,Red,2024-09-30T11:00:31.097670,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-30T11:00:31.214185,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.166666666666666,92.20747252747253,-0.016666666666666666,Blue,2024-09-30T11:00:31.286369,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.216666666666667,53.73941018766756,-0.15,Blue,2024-09-30T11:00:31.408436,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,31.466666666666665,54.05720338983052,0.8333333333333334,Blue,2024-09-30T11:00:31.523864,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.8,42.35510204081632,0.2,Blue,2024-09-30T11:00:31.613847,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.15,Blue,2024-09-30T11:00:31.713927,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-30T11:00:31.789848,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
