road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
3rd Roundabout,"(24.6652373, 46.7968369)","(24.6631823, 46.7870053)",0.02037037037037037,48.38436506508694,7.570370370370371,6.094,Blue
AL Hadad,"(24.6927368, 46.7944167)","(24.6437154, 46.7883665)",-0.8870370370370371,43.45208294245444,15.81851851851852,11.437333333333335,Blue
Abdulaziz Al Fereh,"(24.6746147, 46.73819719999999)","(24.586689, 46.6373493)",0.9592592592592593,33.720841083059504,36.285185185185185,19.598888888888887,Blue
Abdullah Bin Omar,"(24.750219, 46.8446611)","(24.7078712, 46.815598)",-0.7055555555555555,38.38033217264896,20.425925925925924,13.084222222222222,Blue
Abi Hasain Al Hanbali,"(24.8022123, 46.6638953)","(24.7837499, 46.6243831)",0.0962962962962962,34.61496664545772,15.61296296296296,8.824,Blue
Abi Safwon,"(24.9122469, 46.8107557)","(24.903784, 46.7938116)",-0.22222222222222218,55.73999510290213,8.227777777777778,7.642999999999999,Blue
Abi Taher Ibn Al Salam,"(24.722725, 46.8276552)","(24.692795, 46.7947917)",-1.164814814814815,28.807035638597654,13.222222222222221,6.3068888888888885,Blue
Abu Thabit,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)",0.09444444444444446,47.16827310358761,18.86111111111111,14.762,Blue
Airport Road,"(24.9974697, 46.7381783)","(24.7791458, 46.6512239)",0.7296296296296296,51.723657685315025,42.512962962962966,36.60044444444444,Blue
Aka,"(24.6936072, 46.8313384)","(24.6565883, 46.75510370000001)",-1.0277777777777777,39.23085680449181,18.57962962962963,12.038222222222224,Blue
Al Abbas Al Rashidi St.,"(24.6923431, 46.8495065)","(24.5915754, 46.7865516)",2.285185185185185,45.68847496896984,30.085185185185182,22.512999999999998,Blue
Al Ammar,"(24.7286847, 46.6826067)","(24.6936181, 46.6457942)",0.2592592592592593,27.170786155556783,15.609259259259261,6.955444444444445,Blue
Al Anbari,"(24.7330062, 46.7599405)","(24.6821831, 46.74875600000001)",0.19814814814814813,36.42912166239928,13.883333333333333,8.363444444444445,Blue
Al Ataya,"(24.7536362, 46.7623591)","(24.7333674, 46.7088747)",0.3333333333333333,38.2968539016245,11.705555555555556,7.233999999999999,Blue
Al Basham St.,"(24.7493703, 46.8243757)","(24.6834516, 46.7679526)",1.6703703703703703,43.84549847690386,19.312962962962963,13.813555555555556,Yellow
Al Falah,"(24.8091397, 46.7223406)","(24.785114, 46.6960814)",0.3777777777777777,39.932281599552816,14.074074074074073,9.19988888888889,Blue
Al Farish,"(24.7891692, 46.7170297)","(24.7480719, 46.6687234)",0.7537037037037037,48.146818779570225,14.268518518518517,11.343444444444444,Blue
Al Farzdaq Street,"(24.6870478, 46.7430136)","(24.6048722, 46.7188421)",0.7500000000000001,32.110282881297245,31.16296296296296,16.02311111111111,Blue
Al Ghadir,"(24.7862846, 46.6684286)","(24.7610666, 46.640876)",-0.27222222222222225,36.17299748840284,14.511111111111111,8.693,Blue
Al Ghareeb,"(24.7235842, 46.7901815)","(24.6767355, 46.7497383)",0.24259259259259258,37.551905155370505,17.187037037037037,10.70711111111111,Blue
Al Ghazaleh Path,"(24.6578442, 46.7031368)","(24.6255367, 46.6812483)",0.7722222222222223,38.371870990161064,10.905555555555555,6.741777777777777,Blue
Al Hamla,"(24.7913163, 46.77653309999999)","(24.7598942, 46.730632)",-0.29259259259259257,41.170450532090356,13.905555555555557,9.447666666666667,Blue
Al Hareth,"(24.8013768, 46.7484915)","(24.742101, 46.7052507)",2.1944444444444446,35.90033304939437,19.755555555555553,11.4,Blue
Al Jabour,"(24.6440511, 46.7655337)","(24.6101493, 46.7170297)",2.1166666666666667,28.887655895369917,22.983333333333334,10.51677777777778,Blue
