road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.9166666666666667,9.046956521739128,0.18333333333333332,Yellow,2024-09-17T21:00:37.444827,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,117.45,102.72592592592594,3.783333333333333,Blue,2024-09-17T21:00:37.676093,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,197.86666666666667,106.74642857142858,6.95,Blue,2024-09-17T21:00:37.929694,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,7.566666666666666,34.86607929515419,0.43333333333333335,Yellow,2024-09-17T21:00:38.134709,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-17T21:00:38.339889,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.2333333333333334,31.00298507462686,0.35,Yellow,2024-09-17T21:00:38.538867,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,3.1333333333333333,23.476595744680854,0.08333333333333333,Blue,2024-09-17T21:00:38.954400,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,37.63333333333333,75.00053144375553,-1.3,Blue,2024-09-17T21:00:39.165220,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,28.466666666666665,76.55901639344263,0.7166666666666667,Blue,2024-09-17T21:00:39.383411,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-17T21:00:39.601349,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.183333333333334,34.90996015936255,-0.16666666666666666,Blue,2024-09-17T21:00:39.782846,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,65.23333333333333,73.23249872253449,-0.11666666666666667,Blue,2024-09-17T21:00:40.144785,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,151.53333333333333,76.63304003519578,2.75,Blue,2024-09-17T21:00:40.369256,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,40.1,82.29725685785536,-0.18333333333333332,Blue,2024-09-17T21:00:40.588755,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,17.083333333333332,68.60721951219512,-0.8333333333333334,Blue,2024-09-17T21:00:40.799823,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,48.677,43.43333333333333,67.24374520337683,2.5,Yellow,2024-09-17T21:00:41.157661,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,43.75,68.93485714285714,0.23333333333333334,Blue,2024-09-17T21:00:41.353192,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,94.76666666666667,83.79148786493141,-1.6,Blue,2024-09-17T21:00:41.568796,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,14.766666666666667,71.6018058690745,-0.65,Blue,2024-09-17T21:00:41.748682,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
