road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.8333333333333333,9.458181818181817,0.1,Yellow,2024-09-17T21:42:06.586384,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,118.13333333333334,102.13171557562077,4.466666666666667,Blue,2024-09-17T21:42:06.899481,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,195.98333333333332,107.77222552938176,5.066666666666666,Blue,2024-09-17T21:42:07.247111,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,6.95,37.95971223021583,-0.18333333333333332,Blue,2024-09-17T21:42:07.734742,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-17T21:42:08.064981,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.2,31.47272727272727,0.31666666666666665,Yellow,2024-09-17T21:42:08.470145,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,3.783333333333333,19.4431718061674,0.7333333333333333,Orange,2024-09-17T21:42:09.014194,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,37.4,75.46844919786096,-1.5333333333333334,Blue,2024-09-17T21:42:09.289377,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,28.95,75.28082901554404,1.2,Blue,2024-09-17T21:42:09.535280,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-17T21:42:09.795461,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.083333333333333,35.76489795918368,-0.26666666666666666,Blue,2024-09-17T21:42:10.036288,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,63.233333333333334,75.54876120189773,-2.1166666666666667,Blue,2024-09-17T21:42:10.617082,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,154.46666666666667,75.1777729823047,5.683333333333334,Blue,2024-09-17T21:42:10.895480,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
