road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.5833333333333333,10.95157894736842,-0.15,Blue,2024-09-18T00:11:41.396173,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,114.93333333333334,104.97529002320185,1.2666666666666666,Blue,2024-09-18T00:11:41.600203,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,195.75,107.90068965517241,4.833333333333333,Blue,2024-09-18T00:11:41.812661,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,6.75,39.08444444444444,-0.38333333333333336,Blue,2024-09-18T00:11:41.986753,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-18T00:11:42.150675,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.45,28.26122448979591,0.5666666666666667,Orange,2024-09-18T00:11:42.320384,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,2.783333333333333,26.42874251497006,-0.26666666666666666,Blue,2024-09-18T00:11:42.706201,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,42.28333333333333,66.75254237288136,3.35,Yellow,2024-09-18T00:11:42.912128,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,27.0,80.71777777777778,-0.75,Blue,2024-09-18T00:11:43.082292,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-18T00:11:43.224250,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,3.95,36.972151898734175,-0.4,Blue,2024-09-18T00:11:43.382603,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,63.45,75.29078014184397,-1.9,Blue,2024-09-18T00:11:43.678944,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,155.9,74.4865939704939,7.116666666666666,Blue,2024-09-18T00:11:43.859184,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,43.03333333333333,76.6875290472502,2.75,Yellow,2024-09-18T00:11:44.060372,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
