road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.8833333333333333,9.207079646017698,0.15,Yellow,2024-09-17T20:16:43.212854,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,114.38333333333334,105.48005245519452,0.7166666666666667,Blue,2024-09-17T20:16:43.446526,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,191.46666666666667,110.31455431754874,0.55,Blue,2024-09-17T20:16:43.690834,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,7.716666666666667,34.188336933045356,0.5833333333333334,Yellow,2024-09-17T20:16:43.897444,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-17T20:16:44.116143,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.1666666666666665,31.95692307692308,0.2833333333333333,Yellow,2024-09-17T20:16:44.308089,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,3.3666666666666667,21.84950495049505,0.31666666666666665,Yellow,2024-09-17T20:16:44.699319,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,37.55,75.16697736351533,-1.3833333333333333,Blue,2024-09-17T20:16:44.907715,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,28.066666666666666,77.6501187648456,0.31666666666666665,Blue,2024-09-17T20:16:45.135846,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-17T20:16:45.332530,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.1,35.619512195121956,-0.25,Blue,2024-09-17T20:16:45.497509,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,65.2,73.26993865030676,-0.15,Blue,2024-09-17T20:16:45.834045,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,154.55,75.13723714008411,5.766666666666667,Blue,2024-09-17T20:16:46.043147,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,39.5,83.54734177215191,-0.7833333333333333,Blue,2024-09-17T20:16:46.264489,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,17.433333333333334,67.22982791586998,-0.48333333333333334,Blue,2024-09-17T20:16:46.486227,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,47.936,39.28333333333333,73.21578277471362,-0.38333333333333336,Blue,2024-09-17T20:16:46.784252,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,43.166666666666664,69.86640926640926,-0.35,Blue,2024-09-17T20:16:47.029543,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,95.5,83.14806282722513,-0.8666666666666667,Blue,2024-09-17T20:16:47.216656,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,14.816666666666666,71.36017997750281,-0.6,Blue,2024-09-17T20:16:47.413930,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
الثمام,34.069,33.21666666666667,61.53958855995986,-1.8333333333333333,Blue,2024-09-17T20:16:47.682610,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Binban,40.24,38.0,63.53684210526316,0.26666666666666666,Blue,2024-09-17T20:16:47.887477,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
King Abdullah Bin Abdul Aziz Road,56.681,54.21666666666667,62.72720565631724,-0.6,Blue,2024-09-17T20:16:48.334684,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al Janadriyah,40.817,31.766666666666666,77.094018887723,-0.9666666666666667,Blue,2024-09-17T20:16:48.826907,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)"
Thumamah Road,34.069,33.21666666666667,61.53958855995986,-1.8333333333333333,Blue,2024-09-17T20:16:49.115150,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نجم الدين الطوفي,30.867,30.516666666666666,60.688803932277445,-1.2333333333333334,Blue,2024-09-17T20:16:49.459972,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
Northern Ring Road,55.002,39.483333333333334,83.58260869565217,-0.8,Blue,2024-09-17T20:16:49.663981,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
Second Ring Road,15.104,16.65,54.428828828828834,-0.7666666666666667,Blue,2024-09-17T20:16:49.846012,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)"
طريق أبي بكر الصديق,50.266,46.21666666666667,65.25697800216372,-0.38333333333333336,Blue,2024-09-17T20:16:50.382404,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,43.785,38.63333333333333,68.00086281276963,-0.75,Blue,2024-09-17T20:16:50.618314,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)"
الشرق,32.181,24.833333333333332,77.75275167785234,-0.9666666666666667,Blue,2024-09-17T20:16:50.795005,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)"
المزاحمية,46.385,44.65,62.33146696528556,-0.3333333333333333,Blue,2024-09-17T20:16:50.994141,"(24.5279793, 46.349945)","(24.4012757, 46.1845023)"
طريق الملك سلمان,42.181,35.766666666666666,70.76029822926374,-0.45,Blue,2024-09-17T20:16:51.227472,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
بنبان,40.24,38.0,63.53684210526316,0.26666666666666666,Blue,2024-09-17T20:16:51.384850,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
Al Hair Road,56.437,58.666666666666664,57.71965909090909,4.8,Yellow,2024-09-17T20:16:52.022743,"(24.5987783, 46.8446611)","(24.3780824, 46.7285093)"
جبل طويق,24.547,20.483333333333334,71.9033360455655,-0.6666666666666666,Blue,2024-09-17T20:16:52.441604,"(24.6116569, 46.59702069999999)","(24.5242615, 46.43972429999999)"
الملك سلمان الفرعي,7.005,8.8,47.76136363636363,1.7666666666666666,Orange,2024-09-17T20:16:52.649466,"(24.8558203, 46.6801919)","(24.8423717, 46.6530339)"
King Salman Road,42.181,35.78333333333333,70.7273404750815,-0.43333333333333335,Blue,2024-09-17T20:16:52.872453,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
النرجس,35.314,33.81666666666667,62.65667816658452,-0.23333333333333334,Blue,2024-09-17T20:16:53.067764,"(24.9789363, 46.7011156)","(24.8102943, 46.5886374)"
طريق الدمام الرياض السريع,47.042,37.53333333333333,75.20035523978686,-1.4,Blue,2024-09-17T20:16:53.256085,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
طريق ديراب,29.674,31.783333333333335,56.018038804404824,1.0166666666666666,Blue,2024-09-17T20:16:53.735070,"(24.58994840000003, 46.7055477)","(24.43446389999998, 46.6103736)"
بجدة,52.827,41.61666666666667,76.16227472967562,1.3333333333333333,Blue,2024-09-17T20:16:54.307368,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)"
Al Remal,23.556,27.3,51.77142857142857,-0.016666666666666666,Blue,2024-09-17T20:16:54.505958,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)"
King Fahad Rd,79.996,70.55,68.03345145287031,-0.7166666666666667,Blue,2024-09-17T20:16:55.148085,"(25.0547936, 46.70917670000001)","(24.5781126, 46.4970116)"
خديجة بنت خويلد,16.387,16.75,58.699701492537315,-0.6666666666666666,Blue,2024-09-17T20:16:55.464705,"(24.6042471, 46.6041867)","(24.5749012, 46.5210757)"
Hofuf road,22.165,24.383333333333333,54.54135338345865,0.7166666666666667,Blue,2024-09-17T20:16:55.660877,"(25.36624350000002, 49.5905296)","(25.35168369999997, 49.466518)"
طريق الأرطاوية - القاعية,7.406,9.216666666666667,48.212658227848095,0.2,Blue,2024-09-17T20:16:55.826895,"(26.5400469, 45.3720332)","(26.4802535, 45.3252125)"
'Al Sabe,10.826,15.2,42.7342105263158,3.3333333333333335,Orange,2024-09-17T20:16:56.004515,"(24.598009, 46.5957488)","(24.5954907, 46.5925096)"
شارع حسان بن ثابت,14.762,19.766666666666666,44.80876897133221,1.0,Yellow,2024-09-17T20:16:56.243313,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
بنت المعتمد,10.402,14.95,41.74715719063545,3.25,Orange,2024-09-17T20:16:56.406611,"(24.5963613, 46.5925096)","(24.5935194, 46.5903252)"
طريق المجمعة الأرطاوية,7.406,9.216666666666667,48.212658227848095,0.2,Blue,2024-09-17T20:16:56.529722,"(26.5400469, 45.3720332)","(26.4802535, 45.3252125)"
Abi Safwon,7.643,8.216666666666667,55.81095334685598,-0.23333333333333334,Blue,2024-09-17T20:16:56.700444,"(24.9122469, 46.8107557)","(24.903784, 46.7938116)"
صهيب بن سنان,9.357,13.316666666666666,42.15919899874843,3.6333333333333333,Orange,2024-09-17T20:16:56.886134,"(24.6035359, 46.58912)","(24.5978788, 46.58490219999999)"
قصور آل مقبل,57.259,52.65,65.25242165242166,-0.8166666666666667,Blue,2024-09-17T20:16:57.124531,"(24.5783487, 46.4275359)","(24.4752254, 46.2864304)"
طريق الملك فهد - الفرعي,16.963,20.016666666666666,50.84662781015821,3.2333333333333334,Yellow,2024-09-17T20:16:57.339006,"(24.7620395, 46.6898516)","(24.6764758, 46.6463975)"
طريق القرارة,0.375,1.75,12.857142857142858,0.25,Yellow,2024-09-17T20:16:57.506279,"(24.8002971, 46.6889507)","(24.7991865, 46.686663)"
سومطرة,7.132,8.133333333333333,52.61311475409836,-0.13333333333333333,Blue,2024-09-17T20:16:57.685223,"(24.7753276, 46.6602746)","(24.75078, 46.6165447)"
شارع طريق الامام محمد بن سعود,15.632,17.016666666666666,55.11772771792361,0.06666666666666667,Blue,2024-09-17T20:16:57.889023,"(24.7895371, 46.7526854)","(24.7271816, 46.6270967)"
الإمام مسلم,34.699,48.46666666666667,42.95612104539202,-0.9333333333333333,Blue,2024-09-17T20:16:58.382593,"(24.5556039, 46.7768732)","(24.4720865, 46.66932689999999)"
الشبارقة,7.742,9.366666666666667,49.59288256227758,-0.3,Blue,2024-09-17T20:16:58.540183,"(24.7619765, 46.8342524)","(24.7252447, 46.7944167)"
