road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
طريق الأرطاوية أم الجماجم,201.086,114.38333333333334,105.48005245519452,0.7166666666666667,Blue,2024-09-17T22:59:51.862388,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,195.95,107.7905588160245,5.033333333333333,Blue,2024-09-17T22:59:52.114522,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,7.016666666666667,37.59904988123515,-0.11666666666666667,Blue,2024-09-17T22:59:52.320534,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-17T22:59:52.516709,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.85,24.294736842105262,0.9666666666666667,Red,2024-09-17T22:59:52.740292,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,2.8,26.271428571428572,-0.25,Blue,2024-09-17T22:59:53.217356,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,40.28333333333333,70.0666942490691,1.35,Blue,2024-09-17T22:59:53.438554,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,26.5,82.24075471698113,-1.25,Blue,2024-09-17T22:59:53.787466,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-17T22:59:53.954790,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.083333333333333,35.76489795918368,-0.26666666666666666,Blue,2024-09-17T22:59:54.118664,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,63.083333333333336,75.72840158520475,-2.2666666666666666,Blue,2024-09-17T22:59:54.456540,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,157.98333333333332,73.50433590041143,9.2,Yellow,2024-09-17T22:59:54.653041,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,42.516666666666666,77.61944335554685,2.2333333333333334,Yellow,2024-09-17T22:59:54.926679,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,17.066666666666666,68.67421875,-0.85,Blue,2024-09-17T22:59:55.153613,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,48.677,42.516666666666666,68.69353194825558,1.5833333333333333,Blue,2024-09-17T22:59:55.495477,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,48.45,62.247678018575854,4.933333333333334,Yellow,2024-09-17T22:59:55.663658,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,95.9,82.80125130344108,-0.4666666666666667,Blue,2024-09-17T22:59:55.838735,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,15.183333333333334,69.63688254665203,-0.23333333333333334,Blue,2024-09-17T22:59:56.007443,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
الثمام,34.069,34.13333333333333,59.886914062500004,-0.9166666666666666,Blue,2024-09-17T22:59:56.333134,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Binban,40.24,38.36666666666667,62.92962641181581,0.6333333333333333,Blue,2024-09-17T22:59:56.542558,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
King Abdullah Bin Abdul Aziz Road,56.681,55.25,61.554027149321264,0.43333333333333335,Blue,2024-09-17T22:59:57.077301,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al Janadriyah,40.817,37.416666666666664,65.45265033407573,4.683333333333334,Yellow,2024-09-17T22:59:57.411873,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)"
Thumamah Road,34.069,34.13333333333333,59.886914062500004,-0.9166666666666666,Blue,2024-09-17T22:59:57.714433,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نجم الدين الطوفي,30.867,29.85,62.04422110552764,-1.9,Blue,2024-09-17T22:59:57.957744,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
Northern Ring Road,55.002,42.38333333333333,77.86362563900906,2.1,Yellow,2024-09-17T22:59:58.177896,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
Second Ring Road,15.104,16.35,55.42752293577981,-1.0666666666666667,Blue,2024-09-17T22:59:58.354254,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)"
طريق أبي بكر الصديق,50.266,48.6,62.056790123456786,2.0,Blue,2024-09-17T22:59:59.337924,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,39.253,39.733333333333334,59.2746644295302,0.0,Blue,2024-09-17T22:59:59.604873,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)"
الشرق,32.181,26.833333333333332,71.9575155279503,1.0333333333333334,Blue,2024-09-17T22:59:59.772321,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)"
المزاحمية,46.385,43.78333333333333,63.56528359345261,-1.2,Blue,2024-09-17T23:00:00.014727,"(24.5279793, 46.349945)","(24.4012757, 46.1845023)"
