road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.5,11.559999999999999,-0.23333333333333334,Blue,2024-09-18T13:13:15.018747,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,111.08333333333333,108.61359339834961,-2.5833333333333335,Blue,2024-09-18T13:13:15.237812,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,183.28333333333333,115.23993816495408,-7.633333333333334,Blue,2024-09-18T13:13:15.478969,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,7.633333333333334,34.56157205240174,0.5,Yellow,2024-09-18T13:13:15.670833,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-18T13:13:15.895412,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.1,32.97142857142857,0.21666666666666667,Yellow,2024-09-18T13:13:16.079207,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,2.7666666666666666,26.587951807228915,-0.2833333333333333,Blue,2024-09-18T13:13:16.499592,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,37.333333333333336,75.60321428571429,-1.6,Blue,2024-09-18T13:13:16.716574,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,26.45,82.39621928166352,-1.3,Blue,2024-09-18T13:13:16.922041,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-18T13:13:17.130059,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,3.9166666666666665,37.286808510638295,-0.43333333333333335,Blue,2024-09-18T13:13:17.317172,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,62.11666666666667,76.90689562650927,-3.2333333333333334,Blue,2024-09-18T13:13:17.642528,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,151.7,76.548846407383,2.9166666666666665,Blue,2024-09-18T13:13:17.839791,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,39.1,84.40204603580563,-1.1833333333333333,Blue,2024-09-18T13:13:18.033645,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,16.983333333333334,69.01118743866536,-0.9333333333333333,Blue,2024-09-18T13:13:18.246825,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,47.936,37.583333333333336,76.52753880266076,-2.0833333333333335,Blue,2024-09-18T13:13:18.602245,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,39.06666666666667,77.19880546075085,-4.45,Blue,2024-09-18T13:13:18.783487,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
