road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.7833333333333334,9.723364485981307,0.05,Blue,2024-09-18T17:15:56.526507,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,113.68333333333334,106.1295411230025,0.016666666666666666,Blue,2024-09-18T17:15:56.740738,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,193.15,109.35314522391924,2.2333333333333334,Blue,2024-09-18T17:15:57.009635,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,10.316666666666666,25.572213247172865,3.183333333333333,Orange,2024-09-18T17:15:57.208699,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-18T17:15:57.421898,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.15,32.2046511627907,0.26666666666666666,Yellow,2024-09-18T17:15:57.616967,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,3.4166666666666665,21.529756097560977,0.36666666666666664,Yellow,2024-09-18T17:15:58.040480,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,36.65,77.01282401091406,-2.283333333333333,Blue,2024-09-18T17:15:58.295213,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,25.483333333333334,85.52177894048398,-2.2666666666666666,Blue,2024-09-18T17:15:58.471360,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-18T17:15:58.676176,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.233333333333333,34.497637795275594,-0.11666666666666667,Blue,2024-09-18T17:15:58.903522,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,64.13333333333334,74.48856548856548,-1.2166666666666666,Blue,2024-09-18T17:15:59.321395,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,162.03333333333333,71.66710553384078,13.25,Yellow,2024-09-18T17:15:59.526239,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,43.03333333333333,76.6875290472502,2.75,Yellow,2024-09-18T17:15:59.738527,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,17.25,67.94434782608695,-0.6666666666666666,Blue,2024-09-18T17:15:59.952070,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,47.936,45.766666666666666,62.84399126001457,6.1,Yellow,2024-09-18T17:16:00.297734,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,39.06666666666667,77.19880546075085,-4.45,Blue,2024-09-18T17:16:00.491891,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,93.18333333333334,85.21523877660525,-3.183333333333333,Blue,2024-09-18T17:16:00.705870,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,14.466666666666667,73.08663594470046,-0.95,Blue,2024-09-18T17:16:00.931256,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
الثمام,34.069,41.016666666666666,49.83681430312882,5.966666666666667,Yellow,2024-09-18T17:16:01.349168,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Binban,40.24,35.28333333333333,68.42890883325461,-2.45,Blue,2024-09-18T17:16:01.556409,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
King Abdullah Bin Abdul Aziz Road,56.681,70.6,48.17082152974505,15.783333333333333,Orange,2024-09-18T17:16:01.858948,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al Janadriyah,40.817,32.21666666666667,76.01717537506467,-0.5166666666666667,Blue,2024-09-18T17:16:02.332358,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)"
Thumamah Road,34.069,41.016666666666666,49.83681430312882,5.966666666666667,Yellow,2024-09-18T17:16:02.614780,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نجم الدين الطوفي,30.867,30.85,60.033063209076175,-0.9,Blue,2024-09-18T17:16:02.891285,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
Northern Ring Road,55.002,43.03333333333333,76.6875290472502,2.75,Yellow,2024-09-18T17:16:03.104916,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
Second Ring Road,15.104,16.85,53.78278931750741,-0.5666666666666667,Blue,2024-09-18T17:16:03.313890,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)"
طريق أبي بكر الصديق,50.264,53.35,56.52933458294284,6.466666666666667,Yellow,2024-09-18T17:16:03.617797,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,39.253,38.8,60.70051546391753,-0.9333333333333333,Blue,2024-09-18T17:16:03.856524,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)"
الشرق,32.181,24.183333333333334,79.84259131633355,-1.6166666666666667,Blue,2024-09-18T17:16:04.053676,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)"
المزاحمية,46.385,42.81666666666667,65.00038925652004,-2.1666666666666665,Blue,2024-09-18T17:16:04.255858,"(24.5279793, 46.349945)","(24.4012757, 46.1845023)"
طريق الملك سلمان,42.181,39.6,63.91060606060606,3.3833333333333333,Yellow,2024-09-18T17:16:04.478634,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
بنبان,40.24,35.3,68.39660056657225,-2.433333333333333,Blue,2024-09-18T17:16:04.650691,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
Al Hair Road,64.131,64.11666666666666,60.0134130491292,-2.5,Blue,2024-09-18T17:16:05.181736,"(24.5987783, 46.8446611)","(24.3780824, 46.7285093)"
جبل طويق,24.547,20.2,72.91188118811881,-0.95,Blue,2024-09-18T17:16:05.363993,"(24.6116569, 46.59702069999999)","(24.5242615, 46.43972429999999)"
الملك سلمان الفرعي,7.005,8.533333333333333,49.25390625,1.5,Orange,2024-09-18T17:16:05.545884,"(24.8558203, 46.6801919)","(24.8423717, 46.6530339)"
King Salman Road,42.181,39.6,63.91060606060606,3.3833333333333333,Yellow,2024-09-18T17:16:05.776553,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
النرجس,35.314,34.56666666666667,61.29720347155256,0.5166666666666667,Blue,2024-09-18T17:16:05.985368,"(24.9789363, 46.7011156)","(24.8102943, 46.5886374)"
طريق الدمام الرياض السريع,47.042,36.65,77.01282401091406,-2.283333333333333,Blue,2024-09-18T17:16:06.189092,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
طريق ديراب,29.674,36.266666666666666,49.093014705882354,5.5,Yellow,2024-09-18T17:16:06.510091,"(24.58994840000003, 46.7055477)","(24.43446389999998, 46.6103736)"
بجدة,52.827,57.13333333333333,55.477596266044344,16.85,Orange,2024-09-18T17:16:06.890760,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)"
Al Remal,23.556,27.983333333333334,50.50720667063728,0.6666666666666666,Blue,2024-09-18T17:16:07.085204,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)"
