Road Name,Distance (km),Time (mins),Ratio (km/min),Start_point,End_point
العجلية,156.233,86.0,1.8166627906976744,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,112.26666666666668,1.7911460807600952,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,196.2,1.7942201834862388,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,17.266,9.7,1.78,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,36.323,25.416666666666668,1.4291016393442622,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,26.97,19.866666666666667,1.3575503355704697,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
الجماجم,201.086,113.16666666666669,1.7769013254786452,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
أبي مروة,62.389,43.56666666666667,1.43203519510329,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,36.78333333333333,1.2788944268237428,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,25.466666666666665,1.4262958115183246,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,7.205,6.25,1.1528,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,12.287,11.5,1.0684347826086955,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق الحصاة الغربي,27.138,21.45,1.2651748251748254,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
طريق أم الجماجم حفر الباطن,201.086,113.9,1.765460930640913,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,160.13333333333333,1.2086240632805996,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,39.88333333333333,1.3790722941913915,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,17.266666666666666,1.1313127413127413,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,47.97,40.916666666666664,1.1723828920570265,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,41.81666666666667,1.2020326823435632,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,98.7,1.3408713272543058,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,15.1,1.1670198675496688,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
الثمام,34.069,35.61666666666667,0.9565465605989706,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Binban,40.24,36.166666666666664,1.1126267281105993,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
King Abdullah Bin Abdul Aziz Road,56.714,60.11666666666667,0.9433989464929304,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al Janadriyah,35.069,35.5,0.9878591549295777,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)"
Thumamah Road,34.069,35.266666666666666,0.9660396975425332,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نجم الدين الطوفي,30.867,29.883333333333333,1.0329168990518685,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
Northern Ring Road,55.002,39.6,1.388939393939394,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
Second Ring Road,15.104,16.866666666666667,0.895494071146245,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)"
طريق أبي بكر الصديق,50.3,47.666666666666664,1.0552447552447553,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,39.286,38.11666666666667,1.03067774376913,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)"
الشرق,32.181,24.283333333333335,1.325229924502402,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)"
المزاحمية,46.385,43.0,1.078720930232558,"(24.5279793, 46.349945)","(24.4012757, 46.1845023)"
طريق الملك سلمان,42.18,37.983333333333334,1.1104870557261957,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
بنبان,40.24,36.766666666666666,1.0944696282864914,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
Al Hair Road,65.311,64.35,1.014933954933955,"(24.5987783, 46.8446611)","(24.3780824, 46.7285093)"
جبل طويق,24.547,21.45,1.1443822843822844,"(24.6116569, 46.59702069999999)","(24.5242615, 46.43972429999999)"
الملك سلمان الفرعي,7.005,6.933333333333334,1.0103365384615384,"(24.8558203, 46.6801919)","(24.8423717, 46.6530339)"
King Salman Road,42.18,39.61666666666667,1.06470340765671,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
النرجس,35.313,35.266666666666666,1.0013137996219283,"(24.9789363, 46.7011156)","(24.8102943, 46.5886374)"
طريق الدمام الرياض السريع,47.042,40.06666666666667,1.1740931780366055,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
طريق ديراب,17.569,17.083333333333332,1.028429268292683,"(24.58994840000003, 46.7055477)","(24.43446389999998, 46.6103736)"
بجدة,52.827,50.71666666666667,1.0416102530397633,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)"
Al Remal,23.556,27.533333333333335,0.855544794188862,"(24.9623711, 46.8511917)","(24.8228584, 46.75764179999999)"
King Fahad Rd,80.736,84.55,0.9548905972797164,"(25.0547936, 46.70917670000001)","(24.5781126, 46.4970116)"
خديجة بنت خويلد,16.387,16.4,0.9992073170731708,"(24.6042471, 46.6041867)","(24.5749012, 46.5210757)"
Hofuf road,22.165,23.666666666666668,0.9365492957746478,"(25.36624350000002, 49.5905296)","(25.35168369999997, 49.466518)"
طريق الأرطاوية - القاعية,7.406,8.9,0.8321348314606741,"(26.5400469, 45.3720332)","(26.4802535, 45.3252125)"
'Al Sabe,14.913,16.533333333333335,0.9019959677419354,"(24.598009, 46.5957488)","(24.5954907, 46.5925096)"
شارع حسان بن ثابت,14.762,20.0,0.7381,"(24.7534692, 46.8495065)","(24.7095964, 46.815598)"
بنت المعتمد,14.417,16.45,0.8764133738601824,"(24.5963613, 46.5925096)","(24.5935194, 46.5903252)"
طريق المجمعة الأرطاوية,7.406,8.883333333333333,0.8336960600375235,"(26.5400469, 45.3720332)","(26.4802535, 45.3252125)"
Abi Safwon,7.643,8.366666666666667,0.9135059760956176,"(24.9122469, 46.8107557)","(24.903784, 46.7938116)"
صهيب بن سنان,13.256,14.6,0.907945205479452,"(24.6035359, 46.58912)","(24.5978788, 46.58490219999999)"
قصور آل مقبل,57.259,56.06666666666667,1.0212663495838288,"(24.5783487, 46.4275359)","(24.4752254, 46.2864304)"
طريق الملك فهد - الفرعي,16.833,19.566666666666663,0.860289608177172,"(24.7620395, 46.6898516)","(24.6764758, 46.6463975)"
طريق القرارة,29.648,22.066666666666663,1.3435649546827797,"(24.8002971, 46.6889507)","(24.7991865, 46.686663)"
سومطرة,7.131,8.333333333333334,0.8557199999999999,"(24.7753276, 46.6602746)","(24.75078, 46.6165447)"
شارع طريق الامام محمد بن سعود,15.632,17.583333333333332,0.8890236966824645,"(24.7895371, 46.7526854)","(24.7271816, 46.6270967)"
الإمام مسلم,41.973,53.18333333333333,0.7892134127232843,"(24.5556039, 46.7768732)","(24.4720865, 46.66932689999999)"
الشبارقة,7.742,9.633333333333333,0.8036678200692042,"(24.7619765, 46.8342524)","(24.7252447, 46.7944167)"
طريق السليل الحسي الجديد,6.259,7.183333333333334,0.8713225058004641,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
طريق خريص,41.159,41.083333333333336,1.001841784989858,"(24.946473, 46.9999471)","(24.7106093, 46.7623591)"
طريق المليحات - الحريق,29.383,31.4,0.9357643312101912,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
طريق خزام,41.971,38.666666666666664,1.0854568965517242,"(25.0520962, 46.8071244)","(24.8801496, 46.6994378)"
شارع شبه الجزيرة,31.872,39.03333333333333,0.816532877882152,"(24.7095964, 46.91254010000001)","(24.60379, 46.815598)"
Dhalam,10.78,13.266666666666667,0.8125628140703517,"(24.8320047, 46.6934745)","(24.8206771, 46.66932689999999)"
الأمير سعود بن عبدالله بن جلوي,13.069,15.466666666666669,0.8449784482758621,"(24.8687954, 46.6632918)","(24.840795, 46.6053922)"
Khurais Road,41.159,39.016666666666666,1.0549081589064502,"(24.946473, 46.9999471)","(24.7106093, 46.7623591)"
الطريق الدائري الثاني,17.349,17.683333333333334,0.9810933081998114,"(24.7607903, 46.8688931)","(24.655751, 46.8446611)"
المجاردة,14.301,15.333333333333334,0.9326739130434782,"(24.5676496, 46.7542724)","(24.5644145, 46.7483026)"
Bilal Bin Rabah,15.229,16.183333333333334,0.9410298661174048,"(24.5916869, 46.6078033)","(24.5713992, 46.5210757)"
طريق حوطة بني تميم - الرياض,40.65,41.71666666666667,0.9744306831801836,"(24.43326210000003, 46.8798891)","(24.30150119999998, 46.834662)"
طريق تركي الأول بن عبدالعزيز آل سعود,31.607,35.6,0.8878370786516854,"(24.8474334, 46.670534)","(24.6630729, 46.5547852)"
شارع أحمد البسطامي,12.287,11.533333333333331,1.0653468208092487,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
ضرما,24.346,31.983333333333334,0.7612089630015633,"(24.6769698, 46.2431716)","(24.5575846, 46.0679053)"
الحاير,43.271,44.43333333333333,0.97384096024006,"(24.4942256, 46.8847528)","(24.3836285, 46.798284)"
نصيب بن رباح,15.226,17.916666666666668,0.8498232558139535,"(24.5916869, 46.6078033)","(24.5713992, 46.5210757)"
طريق مزارع خطامة سدير,19.721,19.433333333333337,1.014802744425386,"(25.1564724, 47.34695430000001)","(24.2939113, 46.2981033)"
Ibn Al Zaharawi,9.866,10.0,0.9866,"(24.4556204, 46.9877982)","(24.439907, 46.972009)"
إمتداد الطريق الدائري الشرقي - وصلة الخرج),70.104,70.35,0.9965031982942432,"(24.6385281, 46.9513691)","(24.4952017, 46.7962319)"
المشاعلة,26.373,31.633333333333333,0.8337091675447841,"(24.7026464, 46.7457336)","(24.6983399, 46.7445247)"
رغبة,6.788,6.133333333333334,1.106739130434783,"(24.7297945, 46.680041)","(24.7260168, 46.6780791)"
King Abdul Aziz Road,56.8,59.0,0.9627118644067796,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
مدخل طريق العليا,35.917,41.083333333333336,0.8742474645030426,"(24.8302126, 46.6995133)","(24.6639052, 46.612626)"
Shab uldin Al taj,12.486,13.166666666666666,0.9483037974683544,"(24.78133100000002, 46.6595165)","(24.73717459999997, 46.5755256)"
Derab Road,17.569,17.183333333333334,1.0224442289039766,"(24.5841406, 46.7067607)","(24.4849312, 46.6219712)"
جبل مرخة,14.148,20.916666666666668,0.676398406374502,"(24.7425462, 46.8543525)","(24.7205517, 46.8171112)"
As-Sahabh Road,18.256,21.916666666666668,0.8329733840304182,"(24.8519613, 46.805914)","(24.7657102, 46.7212587)"
أنس بن مالك,22.275,27.166666666666668,0.8199386503067484,"(24.8506483, 46.7188421)","(24.7825477, 46.56863670000001)"
البديع الشمالي,7.37,9.9,0.7444444444444445,"(24.7584477, 46.8047793)","(24.7574708, 46.8040228)"
عسفات,10.407,13.783333333333331,0.7550423216444982,"(24.7874632, 46.7276406)","(24.7805653, 46.701023)"
5399,38.632,41.28333333333333,0.9357771497779572,"(24.43571510000003, 46.8242555)","(24.38574769999997, 46.62209730000001)"
المدارة,8.798,10.75,0.8184186046511628,"(24.586451, 46.6956635)","(24.5521282, 46.6635087)"
طريق الأمير سعد بن عبدالرحمن الأول,21.415,24.333333333333332,0.8800684931506849,"(24.727772, 46.870105)","(24.6782849, 46.7768732)"
