road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.7,10.2,-0.03333333333333333,Blue,2024-09-17T18:54:08.220109,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,117.15,102.98898847631241,3.4833333333333334,Blue,2024-09-17T18:54:08.462213,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,199.38333333333333,105.93443116275182,8.466666666666667,Blue,2024-09-17T18:54:08.727997,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,10.75,24.54139534883721,3.6166666666666667,Red,2024-09-17T18:54:08.915785,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-17T18:54:09.116434,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,2.25,30.773333333333333,0.36666666666666664,Yellow,2024-09-17T18:54:09.300518,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,3.033333333333333,24.25054945054945,-0.016666666666666666,Blue,2024-09-17T18:54:09.694174,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,37.93333333333333,74.40738137082603,-1.0,Blue,2024-09-17T18:54:09.875591,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,26.316666666666666,82.8136795440152,-1.4333333333333333,Blue,2024-09-17T18:54:10.087501,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-17T18:54:10.252199,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.133333333333334,35.332258064516125,-0.21666666666666667,Blue,2024-09-17T18:54:10.415967,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,66.33333333333333,72.01809045226132,0.9833333333333333,Blue,2024-09-17T18:54:10.746717,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,154.01666666666668,75.39742452115571,5.233333333333333,Blue,2024-09-17T18:54:10.945740,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
