road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,Start_point,End_point
العجلية,0.289,1.8666666666666667,9.289285714285715,0.13333333333333333,Yellow,2024-09-18T07:45:57.205817,"(24.6345318, 46.6989093)","(24.6332014, 46.6986829)"
طريق الأرطاوية أم الجماجم,201.086,117.15,102.98898847631241,3.4833333333333334,Blue,2024-09-18T07:45:57.432281,"(26.8989379, 45.3260035)","(26.866834, 45.3127513)"
شارع برودان,352.026,205.15,102.95666585425298,14.233333333333333,Yellow,2024-09-18T07:45:57.676217,"(22.5287906, 45.09149550000001)","(22.5214768, 45.0786209)"
القويعية,4.397,9.233333333333333,28.57256317689531,2.1,Orange,2024-09-18T07:45:57.874426,"(24.7586767, 46.70162699999999)","(24.7564578, 46.6969467)"
صلبوخ,0.385,1.7833333333333334,12.953271028037383,0.0,Blue,2024-09-18T07:45:58.069122,"(24.5293006, 46.70255179999999)","(24.5263552, 46.7001172)"
اثيثية,1.154,1.4333333333333333,48.30697674418604,-0.45,Blue,2024-09-18T07:45:58.254122,"(24.6927378, 46.6672146)","(24.6903053, 46.6619341)"
أبي مروة,1.226,2.5166666666666666,29.229139072847683,-0.5333333333333333,Blue,2024-09-18T07:45:58.629007,"(24.7210858, 46.8304302)","(24.718233, 46.8261919)"
Dammam Road,47.042,49.333333333333336,57.21324324324324,10.4,Orange,2024-09-18T07:45:58.897537,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
Salbouk Road,36.323,25.4,85.80236220472442,-2.35,Blue,2024-09-18T07:45:59.084527,"(25.0835778, 46.3639355)","(25.0737049, 46.33389469999999)"
حراضة,0.121,0.6,12.1,0.0,Blue,2024-09-18T07:45:59.236787,"(24.7674677, 46.8302031)","(24.7668182, 46.8291814)"
شارع أحمد الفريابي,2.434,4.166666666666667,35.0496,-0.18333333333333332,Blue,2024-09-18T07:45:59.385040,"(24.9001244, 46.62468459999999)","(24.8912163, 46.6065978)"
طريق أم الجماجم حفر الباطن,79.62,65.45,72.99006875477464,0.1,Blue,2024-09-18T07:45:59.683420,"(28.4738219, 46.0881615)","(28.1959598, 45.84457399999999)"
65,193.541,158.45,73.28785105711582,9.666666666666666,Yellow,2024-09-18T07:45:59.863523,"(25.15493010000003, 47.1735343)","(24.29445029999997, 46.42912490000001)"
طريق الدائري الشمالي-أبا سديرة,55.002,61.15,53.96762060506951,20.866666666666667,Red,2024-09-18T07:46:00.187161,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
جلاجل,19.534,16.983333333333334,69.01118743866536,-0.9333333333333333,Blue,2024-09-18T07:46:00.391230,"(25.712693, 45.4933548)","(25.661024, 45.4375648)"
No.509,47.936,39.71666666666667,72.41695342005875,0.05,Blue,2024-09-18T07:46:00.673112,"(24.9625832, 46.7285093)","(24.699414, 46.574058)"
طريق خريص القديم,50.265,42.083333333333336,71.6649504950495,-1.4333333333333333,Blue,2024-09-18T07:46:00.835950,"(24.96626870000003, 47.3466994)","(24.92930029999997, 46.99267809999999)"
طريق بطين العريق عفيف,132.344,94.08333333333333,84.4000708591674,-2.283333333333333,Blue,2024-09-18T07:46:01.039573,"(24.65129070000002, 42.8783919)","(24.28787219999998, 42.27246969999999)"
الضوء,17.622,13.933333333333334,75.88421052631578,-1.4833333333333334,Blue,2024-09-18T07:46:01.227297,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)"
الثمام,34.069,44.71666666666667,45.71315691390235,9.666666666666666,Orange,2024-09-18T07:46:01.607993,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
Binban,40.24,34.45,70.08417997097243,-3.283333333333333,Blue,2024-09-18T07:46:01.803265,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
King Abdullah Bin Abdul Aziz Road,56.681,54.25,62.68866359447004,-0.5666666666666667,Blue,2024-09-18T07:46:02.257463,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)"
Al Janadriyah,40.817,30.65,79.90277324632952,-2.0833333333333335,Blue,2024-09-18T07:46:02.601828,"(24.9445838, 46.9975312)","(24.7875365, 46.84589709999999)"
Thumamah Road,34.069,44.71666666666667,45.71315691390235,9.666666666666666,Orange,2024-09-18T07:46:02.952781,"(24.9378398, 46.815598)","(24.7479639, 46.6319212)"
نجم الدين الطوفي,30.867,29.1,63.64329896907216,-2.65,Blue,2024-09-18T07:46:03.228965,"(24.5902846, 46.670534)","(24.5367663, 46.4970116)"
Northern Ring Road,55.002,61.13333333333333,53.982333696837514,20.85,Red,2024-09-18T07:46:03.627655,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)"
Second Ring Road,15.104,17.366666666666667,52.18272552783109,-0.05,Blue,2024-09-18T07:46:03.787802,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)"
طريق أبي بكر الصديق,50.266,46.11666666666667,65.39848211058909,-0.48333333333333334,Blue,2024-09-18T07:46:04.126406,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,39.253,36.06666666666667,65.30073937153419,-3.6666666666666665,Blue,2024-09-18T07:46:04.364879,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)"
الشرق,32.181,23.416666666666668,82.45665480427046,-2.3833333333333333,Blue,2024-09-18T07:46:04.533891,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)"
المزاحمية,46.385,43.03333333333333,64.67312161115414,-1.95,Blue,2024-09-18T07:46:04.715453,"(24.5279793, 46.349945)","(24.4012757, 46.1845023)"
طريق الملك سلمان,42.181,35.666666666666664,70.95869158878504,-0.55,Blue,2024-09-18T07:46:04.919840,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
بنبان,40.24,34.43333333333333,70.11810261374639,-3.3,Blue,2024-09-18T07:46:05.107792,"(25.0720744, 46.6302447)","(24.9132569, 46.4564837)"
Al Hair Road,56.437,46.833333333333336,72.30362989323844,-7.033333333333333,Blue,2024-09-18T07:46:05.462580,"(24.5987783, 46.8446611)","(24.3780824, 46.7285093)"
جبل طويق,24.547,20.366666666666667,72.3152209492635,-0.7833333333333333,Blue,2024-09-18T07:46:05.630165,"(24.6116569, 46.59702069999999)","(24.5242615, 46.43972429999999)"
الملك سلمان الفرعي,7.005,6.7,62.73134328358209,-0.3333333333333333,Blue,2024-09-18T07:46:05.783383,"(24.8558203, 46.6801919)","(24.8423717, 46.6530339)"
King Salman Road,42.181,35.666666666666664,70.95869158878504,-0.55,Blue,2024-09-18T07:46:05.973208,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)"
النرجس,35.405,31.9,66.59247648902821,-2.216666666666667,Blue,2024-09-18T07:46:06.152523,"(24.9789363, 46.7011156)","(24.8102943, 46.5886374)"
طريق الدمام الرياض السريع,47.042,49.3,57.25192697768763,10.366666666666667,Orange,2024-09-18T07:46:06.359216,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)"
