Road Name,Distance (km),Time (mins),Ratio (km/min)
العجلية,156.233,86.0,1.8166627906976744
طريق الأرطاوية أم الجماجم,201.086,112.26666666666667,1.7911460807600952
شارع برودان,352.026,196.2,1.7942201834862388
القويعية,17.266,9.7,1.78
صلبوخ,36.323,25.416666666666668,1.4291016393442622
اثيثية,26.97,19.866666666666667,1.3575503355704697
الجماجم,201.086,113.16666666666667,1.7769013254786452
أبي مروة,62.389,43.56666666666667,1.43203519510329
Dammam Road,47.042,36.78333333333333,1.2788944268237428
Salbouk Road,36.323,25.466666666666665,1.4262958115183246
حراضة,7.205,6.25,1.1528
شارع أحمد الفريابي,12.287,11.5,1.0684347826086957
طريق الحصاة الغربي,27.138,21.45,1.2651748251748254
طريق أم الجماجم حفر الباطن,201.086,113.9,1.765460930640913
65,193.541,160.13333333333333,1.2086240632805996
طريق الدائري الشمالي-أبا سديرة,55.002,39.88333333333333,1.3790722941913915
جلاجل,19.534,17.266666666666666,1.1313127413127413
No.509,47.97,40.916666666666664,1.1723828920570265
طريق خريص القديم,50.265,41.81666666666667,1.2020326823435632
طريق بطين العريق عفيف,132.344,98.7,1.3408713272543058
الضوء,17.622,15.1,1.1670198675496688
الثمام,34.069,35.61666666666667,0.9565465605989706
Binban,40.24,36.166666666666664,1.1126267281105993
King Abdullah Bin Abdul Aziz Road,56.714,60.11666666666667,0.9433989464929304
Al Janadriyah,35.069,35.5,0.9878591549295775
Thumamah Road,34.069,35.266666666666666,0.9660396975425332
نجم الدين الطوفي,30.867,29.883333333333333,1.0329168990518685
Northern Ring Road,55.002,39.6,1.388939393939394
Second Ring Road,15.104,16.866666666666667,0.895494071146245
طريق أبي بكر الصديق,50.3,47.666666666666664,1.0552447552447553
طريق الأمير فيصل بن بندر بن عبدالعزيز,39.286,38.11666666666667,1.03067774376913
الشرق,32.181,24.283333333333335,1.325229924502402
المزاحمية,46.385,43.0,1.078720930232558
طريق الملك سلمان,42.18,37.983333333333334,1.1104870557261957
بنبان,40.24,36.766666666666666,1.0944696282864914
Al Hair Road,65.311,64.35,1.014933954933955
جبل طويق,24.547,21.45,1.1443822843822844
الملك سلمان الفرعي,7.005,6.933333333333334,1.0103365384615384
King Salman Road,42.18,39.61666666666667,1.0647034076567101
النرجس,35.313,35.266666666666666,1.0013137996219283
طريق الدمام الرياض السريع,47.042,40.06666666666667,1.1740931780366055
طريق ديراب,17.569,17.083333333333332,1.028429268292683
بجدة,52.827,50.71666666666667,1.0416102530397633
Al Remal,23.556,27.533333333333335,0.855544794188862
King Fahad Rd,80.736,84.55,0.9548905972797163
خديجة بنت خويلد,16.387,16.4,0.9992073170731709
Hofuf road,22.165,23.666666666666668,0.9365492957746478
طريق الأرطاوية - القاعية,7.406,8.9,0.8321348314606741
'Al Sabe,14.913,16.533333333333335,0.9019959677419354
شارع حسان بن ثابت,14.762,20.0,0.7381
بنت المعتمد,14.417,16.45,0.8764133738601824
طريق المجمعة الأرطاوية,7.406,8.883333333333333,0.8336960600375235
Abi Safwon,7.643,8.366666666666667,0.9135059760956175
صهيب بن سنان,13.256,14.6,0.9079452054794521
قصور آل مقبل,57.259,56.06666666666667,1.0212663495838288
طريق الملك فهد - الفرعي,16.833,19.566666666666666,0.860289608177172
طريق القرارة,29.648,22.066666666666666,1.3435649546827795
سومطرة,7.131,8.333333333333334,0.8557199999999999
شارع طريق الامام محمد بن سعود,15.632,17.583333333333332,0.8890236966824645
الإمام مسلم,41.973,53.18333333333333,0.7892134127232843
الشبارقة,7.742,9.633333333333333,0.8036678200692042
طريق السليل الحسي الجديد,6.259,7.183333333333334,0.8713225058004641
طريق خريص,41.159,41.083333333333336,1.001841784989858
طريق المليحات - الحريق,29.383,31.4,0.9357643312101911
